ogc_fid,nodeid,vintersect,version,created,masterid,is_int,manual_fix,is_cntrln_int
"19177",20273,,19d,2019-12-13T10:04:53.983,"20273","1","0","1"
"19178",20274,,19d,2019-12-13T10:04:53.983,"20274","1","0","1"
"19179",20275,,19d,2019-12-13T10:04:53.983,"20287","1","0","1"
"19180",20276,,19d,2019-12-13T10:04:53.983,"20276","1","0","1"
"19181",20277,,19d,2019-12-13T10:04:53.983,"20277","1","0","1"
"19182",20278,,19d,2019-12-13T10:04:53.983,"20278","1","0","1"
"19183",20279,,19d,2019-12-13T10:04:53.983,"20283","1","0","1"
"19184",20280,,19d,2019-12-13T10:04:53.983,"20280","1","0","1"
"19185",20281,,19d,2019-12-13T10:04:53.983,"20281","1","0","1"
"19186",20282,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19187",20283,,19d,2019-12-13T10:04:53.983,"20283","1","0","1"
"19188",20284,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19189",20286,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19190",20287,,19d,2019-12-13T10:04:53.983,"20287","1","0","1"
"19191",20288,,19d,2019-12-13T10:04:53.983,"20288","1","0","1"
"19192",20289,,19d,2019-12-13T10:04:53.983,"20289","1","0","1"
"19193",20290,,19d,2019-12-13T10:04:53.983,"20407","1","0","1"
"19194",20291,,19d,2019-12-13T10:04:53.983,"20407","1","0","1"
"19195",20292,,19d,2019-12-13T10:04:53.983,"20292","1","0","1"
"19201",20298,,19d,2019-12-13T10:04:53.983,"20298","1","0","1"
"19202",20299,,19d,2019-12-13T10:04:53.983,"20299","1","0","1"
"19206",20303,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19207",20304,,19d,2019-12-13T10:04:53.983,"20304","1","0","1"
"19208",20305,,19d,2019-12-13T10:04:53.983,"20305","1","0","1"
"19262",20360,,19d,2019-12-13T10:04:53.983,"20360","1","0","1"
"19263",20361,,19d,2019-12-13T10:04:53.983,"20361","1","0","1"
